GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS,LOCATION
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,23,16,7,0.696,435.0,119.3,121.1,108.7,109.3,10.6,11.8,0.667,2.41,21.1,0.317,0.736,0.532,0.127,0.574,0.604,99.4,98.31,81.93,890,0.569,4,2,11231,4965,1,3769,6193,4245,4111,1309,3416,4115,4909,4092,6618,4248,4435,7845,4370,1303595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.25,Home
Lineups,-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,27,18,9,0.667,353.0,118.5,118.2,103.4,105.1,15.1,13.2,0.644,2.17,20.2,0.303,0.744,0.53,0.134,0.577,0.6,97.8,97.16,80.96,719,0.572,1,1,11248,4969,2,4023,5945,4191,4898,1406,3578,4194,4875,4099,6722,4234,4483,8201,4294,1060460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.4166666666667,Home
Lineups,-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,21,12,9,0.571,272.0,114.6,116.0,116.0,117.0,-1.5,-1.0,0.644,1.98,20.3,0.32,0.753,0.537,0.148,0.562,0.588,103.6,102.55,85.46,581,0.5,6,12,11248,5346,3,4257,6834,6079,4899,2219,3572,4109,4320,4028,7165,4466,4748,6579,5122,816520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.6666666666667,Home
Lineups,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,17,14,3,0.824,248.0,115.8,116.0,104.0,104.2,11.8,11.7,0.738,2.63,22.8,0.181,0.688,0.45,0.121,0.589,0.612,100.9,100.69,83.91,520,0.567,14,5,10786,4753,4,4262,5920,4251,3821,1178,2868,5672,5306,6468,6355,4028,4339,7115,4388,742965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.6666666666667,Home
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,21,16,5,0.762,247.0,107.7,112.1,102.8,103.1,4.9,9.0,0.561,2.0,16.5,0.314,0.736,0.517,0.116,0.503,0.539,103.1,100.82,84.02,519,0.528,6,2,11171,4811,5,4568,5879,4383,5512,1433,5573,4133,4913,4236,6263,4903,5562,7068,4875,739865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.5833333333333,Home
Lineups,-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,14,7,7,0.5,232.0,109.3,109.7,106.4,107.1,2.9,2.6,0.614,2.4,18.8,0.237,0.733,0.48,0.108,0.517,0.554,102.6,102.1,85.08,493,0.518,24,58,11231,5376,6,4750,6047,4682,5088,1317,4459,5125,4942,6077,5993,4876,5367,6690,4975,694625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.3333333333333,Home
Lineups,-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,11,8,3,0.727,200.0,129.7,130.2,114.9,114.2,14.8,16.0,0.709,2.48,23.0,0.32,0.764,0.558,0.136,0.643,0.673,101.9,102.02,85.02,427,0.568,49,39,10786,4931,7,3091,6516,4036,3995,1301,2849,4107,4299,3664,6742,3189,3283,6716,4380,599170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.6666666666667,Home
Lineups,-201143-201950-1627759-1628369-1628401-,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,1610612738,BOS,14,11,3,0.786,190.0,126.6,126.3,103.3,104.1,23.3,22.2,0.76,2.83,23.3,0.228,0.711,0.492,0.119,0.636,0.653,98.7,98.42,82.01,388,0.604,24,16,10786,4797,8,3323,5915,3674,3407,1111,2726,5179,5184,6007,6328,3328,3637,7809,3940,571365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.83333333333337,Home
Lineups,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,16,11,5,0.688,187.0,109.2,108.6,97.8,96.5,11.4,12.0,0.692,2.3,19.6,0.25,0.764,0.52,0.118,0.522,0.565,101.8,102.76,85.63,397,0.568,17,16,11171,4967,9,4812,4360,4238,4053,1356,4317,4552,4298,4218,6327,4841,5198,6538,4375,559845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.58333333333337,Home
Lineups,-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,13,8,5,0.615,178.0,135.4,134.5,122.2,122.1,13.2,12.3,0.708,3.07,24.1,0.322,0.695,0.521,0.117,0.647,0.679,104.3,104.77,87.31,386,0.557,30,39,11171,5280,10,2689,7190,4231,3998,672,2587,4103,5280,4203,6271,3169,3239,5792,4493,532590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.83333333333337,Home
