RANK,TEAM_ABBREVIATION,GROUP_NAME,POSS,MIN,OFF_RATING,DEF_RATING,NET_RATING,PIE,CONF_MULT,RAW_SCORE,FINAL_SCORE
1,BOS,N. Queta - P. Pritchard - S. Hauser - J. Walsh - D. Peterson,22,13.0,181.8,72.7,109.1,0.894,0.75,101.612,76.209
2,OKC,S. Gilgeous-Alexander - K. Williams - L. Dort - I. Joe - J. Williams,69,33.0,159.4,72.5,87.0,0.874,0.7817,83.186,65.026
3,OKC,I. Joe - A. Wiggins - C. Holmgren - J. Williams - D. Jones,29,14.0,165.5,76.7,88.9,0.923,0.75,86.533,64.9
4,MIA,J. Butler - T. Rozier - B. Adebayo - T. Herro - D. Smith,24,14.0,150.0,64.0,86.0,0.979,0.75,86.301,64.726
5,PHX,K. Durant - M. Plumlee - D. Booker - G. Allen - C. Gillespie,24,12.0,187.5,100.0,87.5,0.852,0.75,82.766,62.074
6,CHA,C. Martin - G. Williams - T. Mann - M. Diabate - B. Miller,37,20.0,151.4,65.8,85.6,0.87,0.75,81.917,61.438
7,IND,T. Bradley - Q. Jackson - J. Furphy - E. Freeman - R. Dennis,46,20.0,130.4,55.8,74.6,1.055,0.75,80.015,60.011
8,MIL,B. Lopez - G. Antetokounmpo - G. Trent Jr. - K. Porter Jr. - A. Green,37,17.0,140.5,64.7,75.8,0.984,0.75,78.328,58.746
9,POR,A. Simons - D. Ayton - D. Avdija - D. Banton - T. Camara,24,12.0,154.2,70.8,83.3,0.792,0.75,77.169,57.877
10,CHI,Z. Collins - J. Carter - T. Horton-Tucker - P. Williams - J. Phillips,27,13.0,155.6,73.1,82.5,0.808,0.75,77.125,57.844
11,OKC,S. Gilgeous-Alexander - K. Williams - I. Joe - A. Wiggins - J. Williams,35,15.0,165.7,85.7,80.0,0.81,0.75,75.2,56.4
12,CLE,D. Mitchell - J. Allen - T. Jerome - E. Mobley - J. Tyson,23,12.0,147.8,70.8,77.0,0.866,0.75,74.888,56.166
13,LAC,N. Batum - J. Harden - K. Leonard - I. Zubac - D. Jones Jr.,27,13.0,163.0,82.1,80.8,0.784,0.75,74.87,56.152
14,GSW,S. Curry - K. Looney - B. Hield - G. Payton II - B. Podziemski,30,13.0,163.3,83.3,80.0,0.8,0.75,74.827,56.12
15,MIA,B. Adebayo - T. Herro - D. Mitchell - P. Larsson - K. Ware,22,12.0,145.5,66.7,78.8,0.819,0.75,74.575,55.931
16,BOS,J. Holiday - J. Tatum - D. White - N. Queta - P. Pritchard,27,13.0,177.8,100.0,77.8,0.789,0.75,72.657,54.493
17,GSW,S. Curry - D. Green - A. Wiggins - D. Melton - J. Kuminga,38,17.0,155.3,83.8,71.5,0.9,0.75,71.756,53.817
18,CHA,C. Martin - G. Williams - T. Mann - M. Diabate - T. Salaün,26,15.0,173.1,96.3,76.8,0.746,0.75,70.253,52.69
19,MEM,M. Smart - D. Bane - S. Aldama - J. Huff - J. LaRavia,35,15.0,140.0,70.6,69.4,0.897,0.75,69.964,52.473
20,CLE,G. Niang - J. Allen - D. Garland - I. Okoro - S. Merrill,24,12.0,162.5,88.5,74.0,0.717,0.75,66.932,50.199
21,BOS,A. Horford - J. Tatum - D. White - N. Queta - P. Pritchard,27,13.0,137.0,72.0,65.0,0.907,0.75,66.817,50.113
22,BKN,D. Sharpe - T. Watford - J. Wilson - T. Martin - T. Evbuomwan,25,14.0,128.0,65.5,62.5,0.936,0.75,65.898,49.424
23,DEN,N. Jokić - J. Murray - J. Pickett - Z. Nnaji - C. Braun,64,29.0,145.3,79.7,65.6,0.809,0.7733,63.642,49.214
24,DEN,V. Čančar - J. Pickett - P. Hall - H. Tyson - S. Jones,22,13.0,159.1,91.3,67.8,0.763,0.75,63.687,47.765
25,MIL,B. Portis - K. Kuzma - G. Trent Jr. - K. Porter Jr. - A. Green,33,14.0,133.3,69.7,63.6,0.852,0.75,63.646,47.734
26,OKC,I. Hartenstein - S. Gilgeous-Alexander - K. Williams - L. Dort - C. Wallace,33,16.0,139.4,74.3,65.1,0.807,0.75,63.168,47.376
27,SAS,J. McLaughlin - S. Mamukelashvili - M. Branham - B. Wesley - S. Castle,29,13.0,137.9,76.7,61.3,0.886,0.75,63.074,47.305
28,CHI,N. Vučević - Z. LaVine - L. Ball - C. White - J. Giddey,43,18.0,167.4,100.0,67.4,0.746,0.75,62.733,47.05
29,NYK,K. Towns - C. Payne - J. Hart - M. Bridges - L. Shamet,32,15.0,121.9,58.8,63.1,0.831,0.75,62.463,46.847
30,GSW,S. Curry - D. Green - B. Hield - G. Payton II - Q. Post,38,15.0,150.0,83.8,66.2,0.753,0.75,62.034,46.526
31,MIL,D. Wright - M. Beauchamp - C. Livingston - T. Smith - A. Johnson,24,12.0,87.5,36.0,51.5,1.05,0.75,61.349,46.012
32,BOS,K. Porziņģis - D. White - L. Kornet - P. Pritchard - S. Hauser,24,12.0,125.0,66.7,58.3,0.903,0.75,61.307,45.98
33,POR,J. Grant - A. Simons - D. Avdija - D. Banton - T. Camara,35,17.0,160.0,97.2,62.8,0.799,0.75,61.03,45.772
34,HOU,F. VanVleet - D. Brooks - A. Sengun - T. Eason - A. Thompson,94,46.0,130.9,74.7,56.1,0.787,0.8233,55.222,45.464
35,OKC,A. Caruso - A. Wiggins - C. Holmgren - J. Williams - C. Wallace,70,34.0,142.9,84.9,57.9,0.809,0.7833,57.482,45.026
36,BKN,D. Schröder - D. Finney-Smith - C. Johnson - Z. Williams - J. Wilson,23,13.0,130.4,72.7,57.7,0.879,0.75,59.933,44.95
37,IND,P. Siakam - A. Nembhard - O. Toppin - T. Haliburton - A. Nesmith,52,23.0,173.1,109.4,63.6,0.734,0.7533,59.246,44.63
38,PHI,J. Butler - J. Dowtin Jr. - A. Bona - R. Council IV - A. Reese,40,19.0,147.5,85.7,61.8,0.777,0.75,59.409,44.557
39,HOU,S. Adams - F. VanVleet - A. Holiday - A. Thompson - C. Whitmore,34,17.0,144.1,82.4,61.8,0.769,0.75,59.111,44.333
40,MEM,J. Jackson Jr. - J. Konchar - D. Bane - S. Pippen Jr. - Z. Edey,25,13.0,128.0,70.4,57.6,0.854,0.75,58.92,44.19
41,MIL,G. Antetokounmpo - P. Connaughton - G. Trent Jr. - K. Porter Jr. - A. Green,38,19.0,147.4,86.5,60.9,0.782,0.75,58.876,44.157
42,OKC,S. Gilgeous-Alexander - L. Dort - I. Joe - A. Wiggins - J. Williams,79,36.0,126.6,72.4,54.2,0.828,0.7983,55.231,44.091
43,POR,J. Grant - R. Williams III - S. Henderson - S. Sharpe - T. Camara,59,26.0,132.2,74.6,57.6,0.813,0.765,57.392,43.905
44,CLE,G. Niang - D. Mitchell - T. Jerome - D. Wade - S. Merrill,27,12.0,133.3,74.1,59.3,0.794,0.75,58.043,43.532
45,LAL,L. James - D. Russell - R. Hachimura - J. Hayes - D. Knecht,53,26.0,143.4,86.5,56.9,0.808,0.755,56.645,42.767
46,LAL,D. Finney-Smith - L. Dončić - R. Hachimura - G. Vincent - A. Reaves,70,32.0,132.9,75.0,57.9,0.727,0.7833,54.425,42.631
47,DAL,S. Dinwiddie - P. Washington - Q. Grimes - J. Hardy - D. Lively II,44,21.0,102.3,58.1,44.1,1.074,0.75,56.323,42.242
48,SAC,T. Lyles - D. Fox - M. Monk - K. Huerter - K. Murray,29,13.0,124.1,65.5,58.6,0.762,0.75,56.29,42.218
49,DEN,R. Westbrook - N. Jokić - Z. Nnaji - J. Strawther - C. Braun,29,13.0,134.5,82.1,52.3,0.883,0.75,55.762,41.822
50,UTA,J. Springer - M. Potter - O. Tshiebwe - K. George - C. Williams,27,13.0,140.7,84.0,56.7,0.788,0.75,55.739,41.804
51,ATL,C. LeVert - G. Niang - T. Mann - D. Daniels - D. Barlow,38,16.0,115.8,64.9,50.9,0.909,0.75,55.611,41.708
52,WAS,J. Valančiūnas - M. Brogdon - K. Kuzma - C. Kispert - K. George,43,20.0,123.3,70.7,52.5,0.862,0.75,55.139,41.354
53,OKC,A. Caruso - I. Hartenstein - S. Gilgeous-Alexander - A. Wiggins - J. Williams,46,21.0,139.1,82.6,56.5,0.769,0.75,54.871,41.153
54,DET,T. Harris - M. Beasley - J. Duren - M. Sasser - R. Holland II,27,13.0,137.0,79.3,57.7,0.74,0.75,54.75,41.062
55,MIL,G. Antetokounmpo - B. Portis - G. Trent Jr. - K. Porter Jr. - A. Green,92,42.0,144.6,93.4,51.2,0.75,0.82,49.922,40.936
56,OKC,I. Hartenstein - S. Gilgeous-Alexander - A. Wiggins - C. Holmgren - C. Wallace,31,15.0,138.7,80.6,58.1,0.716,0.75,54.175,40.631
57,SAS,H. Barnes - K. Johnson - D. Vassell - J. Sochan - S. Castle,38,19.0,131.6,80.6,51.0,0.864,0.75,54.013,40.51
58,MIN,M. Conley - R. Gobert - N. Alexander-Walker - N. Reid - J. Clark,42,23.0,150.0,95.3,54.7,0.784,0.75,53.99,40.492
59,MEM,J. Jackson Jr. - B. Clarke - D. Bane - S. Pippen Jr. - J. LaRavia,25,13.0,120.0,64.3,55.7,0.761,0.75,53.933,40.45
60,BKN,D. Schröder - B. Simmons - D. Finney-Smith - C. Johnson - J. Wilson,22,12.0,172.7,112.5,60.2,0.647,0.75,53.282,39.962
61,LAL,D. Finney-Smith - L. Dončić - G. Vincent - J. Hayes - A. Reaves,73,32.0,138.4,87.0,51.4,0.761,0.7883,50.493,39.804
62,MIA,A. Burks - B. Adebayo - H. Highsmith - D. Mitchell - P. Larsson,24,12.0,145.8,87.5,58.3,0.675,0.75,52.806,39.604
63,CHA,C. Martin - J. Green - N. Richards - B. Miller - K. Simpson,30,15.0,163.3,110.7,52.6,0.787,0.75,52.422,39.316
64,ORL,C. Joseph - K. Caldwell-Pope - J. Isaac - F. Wagner - P. Banchero,32,16.0,143.8,88.9,54.9,0.736,0.75,52.36,39.27
65,ATL,G. Niang - T. Young - O. Okongwu - V. Krejčí - D. Daniels,52,23.0,134.6,82.7,51.9,0.777,0.7533,51.489,38.787
66,BOS,J. Holiday - K. Porziņģis - J. Tatum - D. White - L. Kornet,33,17.0,124.2,71.4,52.8,0.763,0.75,51.687,38.765
67,MIA,K. Anderson - B. Adebayo - H. Highsmith - T. Herro - D. Mitchell,66,34.0,156.1,103.1,52.9,0.713,0.7767,49.903,38.76
68,NOP,K. Olynyk - Z. Williamson - J. Alvarado - K. Matković - J. Hawkins,48,23.0,106.3,63.3,43.0,0.969,0.75,51.528,38.646
69,MIN,R. Gobert - J. Ingles - N. Reid - A. Edwards - J. McDaniels,31,14.0,125.8,80.0,45.8,0.889,0.75,50.785,38.089
