GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,48,31,17,0.646,940.0,116.5,117.7,114.6,114.4,1.9,3.3,0.661,2.29,20.8,0.283,0.726,0.509,0.129,0.569,0.601,99.2,98.76,82.3,1939,0.528,4,2,17979,6956,1,6288,10555,7341,7617,2303,5304,7228,7891,6820,10383,6830,7051,12675,7598,2819810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.3333333333333
Lineups,-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,55,36,19,0.655,714.0,113.5,113.4,109.0,110.2,4.5,3.2,0.63,1.71,19.1,0.269,0.745,0.514,0.155,0.57,0.599,98.0,97.48,81.24,1456,0.52,1,1,17984,6952,2,6941,9881,7349,7841,3972,6746,7386,7682,6768,11576,6824,7189,13259,7763,2141160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.5
Lineups,-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,39,24,15,0.615,491.0,114.4,115.5,108.3,109.4,6.2,6.1,0.593,1.82,19.1,0.347,0.759,0.555,0.151,0.556,0.58,104.2,103.18,85.98,1054,0.537,6,8,17973,7006,3,6636,9741,7132,8500,3851,6748,5282,6843,5889,11405,7093,7735,10292,7422,1473820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.9166666666666
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,37,25,12,0.676,450.0,105.8,109.3,104.4,104.1,1.4,5.2,0.568,1.89,16.2,0.311,0.753,0.519,0.119,0.491,0.53,101.8,100.34,83.62,948,0.511,8,7,17950,6410,4,7476,9206,7187,8800,3777,8831,6701,6860,6689,9840,9962,9190,11880,7922,1351150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5
Lineups,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,37,26,11,0.703,435.0,115.3,114.1,103.9,102.2,11.4,11.9,0.697,2.49,21.2,0.229,0.781,0.52,0.119,0.571,0.604,100.2,101.58,84.65,918,0.572,8,5,17941,6371,5,6897,9096,6568,6250,2177,5138,8500,6586,6675,9837,6822,6976,11194,6615,1304195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.25
Lineups,-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,28,13,15,0.464,431.0,114.8,114.9,114.3,114.7,0.5,0.2,0.643,2.58,20.0,0.262,0.739,0.492,0.109,0.542,0.579,103.8,103.63,86.36,934,0.505,22,54,17973,9105,6,6710,10562,7522,7711,1996,5452,7441,7719,9556,9310,7441,7770,10057,8028,1292300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.9166666666666
Lineups,-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,26,15,11,0.577,426.0,124.5,125.0,115.3,114.4,9.1,10.6,0.693,2.56,22.5,0.295,0.735,0.529,0.128,0.615,0.643,102.4,102.57,85.48,917,0.558,29,39,17941,7179,7,5449,10554,6659,6266,2002,4400,6931,7750,6513,10350,5633,5841,10711,6959,1277550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5
Lineups,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,26,18,8,0.692,383.0,119.1,118.8,107.3,107.7,11.8,11.1,0.714,2.87,22.6,0.188,0.694,0.451,0.111,0.596,0.618,100.7,100.65,83.87,802,0.56,29,19,17859,6394,8,6176,9565,6631,5921,1871,4373,9307,8431,10403,9322,6134,6590,11690,6916,1148165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.9166666666667
Lineups,-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,27,17,10,0.63,368.0,125.6,125.1,121.3,122.2,4.4,2.9,0.712,3.02,23.3,0.31,0.698,0.51,0.114,0.598,0.627,102.3,102.12,85.1,781,0.519,24,29,17923,6979,9,5042,11523,7367,6135,1179,4133,6702,8407,6814,9681,6115,6226,10914,7774,1103415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.6666666666667
Lineups,-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,1610612738,BOS,24,18,6,0.75,357.0,113.9,114.1,113.0,114.1,0.9,0.0,0.685,2.44,20.4,0.205,0.74,0.476,0.115,0.554,0.586,103.6,103.05,85.88,765,0.509,38,19,17719,6106,10,6894,10377,7528,6341,2192,5415,8759,7708,9750,9696,7201,7527,10329,7977,1070380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.75
