GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS,LOCATION
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,25,15,10,0.6,505.0,114.2,114.9,119.8,118.8,-5.6,-3.9,0.657,2.19,20.6,0.254,0.716,0.488,0.132,0.565,0.599,99.1,99.15,82.63,1049,0.495,2,2,11377,4076,1,4238,6820,6012,4696,1336,3416,4589,5057,6099,6628,4335,4552,7775,5298,1516215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.0833333333335,Road
Lineups,-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,28,18,10,0.643,360.0,108.5,108.7,114.4,115.2,-5.9,-6.5,0.615,1.38,18.0,0.235,0.746,0.498,0.176,0.564,0.597,98.2,97.8,81.5,737,0.469,1,1,11377,4058,2,4728,6551,6126,4897,2734,4588,5119,4917,6064,7815,4349,4579,8174,5578,1080700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,Road
Lineups,-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,15,7,8,0.467,226.0,119.9,120.4,115.7,114.6,4.2,5.9,0.678,2.64,22.2,0.274,0.711,0.505,0.12,0.591,0.617,102.7,103.06,85.88,490,0.549,15,44,11366,5151,3,3759,6532,4402,3924,1130,3112,4483,5212,4267,6317,3943,4243,6499,4492,678380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.8333333333333,Road
Lineups,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,19,14,5,0.737,221.0,119.6,117.9,106.9,105.0,12.7,12.9,0.701,2.42,22.2,0.21,0.805,0.533,0.127,0.612,0.642,98.8,100.39,83.66,463,0.587,8,4,11260,3777,4,4003,5860,4074,3815,1238,2900,5267,3936,4073,6597,3670,3858,7393,4093,662700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.4166666666667,Road
Lineups,-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,18,12,6,0.667,219.0,114.3,114.8,98.8,100.0,15.5,14.8,0.534,1.63,17.6,0.381,0.768,0.576,0.154,0.549,0.571,104.8,103.95,86.63,473,0.589,9,8,11314,3804,5,4240,4339,3971,5411,2405,4720,3055,4392,3362,7271,4592,4957,6227,4069,657300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.25,Road
Lineups,-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,1610612738,BOS,15,12,3,0.8,210.0,111.7,111.1,117.1,119.1,-5.4,-8.0,0.696,2.21,20.4,0.19,0.724,0.46,0.126,0.559,0.586,103.9,103.32,86.1,452,0.473,15,8,10808,3641,6,4575,6829,6183,3856,1320,3445,5592,5033,6401,6588,4441,4734,6432,5525,629285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.5,Road
Lineups,-201935-1626181-1627739-1627826-1627884-,J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,1610612746,LAC,15,8,7,0.533,206.0,111.5,113.3,107.6,108.8,4.0,4.4,0.573,1.73,17.3,0.283,0.714,0.502,0.138,0.543,0.573,101.7,100.29,83.58,429,0.519,15,31,11337,4162,7,4387,6049,4458,5192,2308,4771,4457,5209,4272,6731,4638,4947,7420,4828,616680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.1666666666667,Road
Lineups,-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,14,6,8,0.429,199.0,121.0,120.6,123.3,123.3,-2.3,-2.6,0.673,2.78,21.4,0.291,0.746,0.506,0.111,0.569,0.606,105.3,105.41,87.84,441,0.493,22,71,11366,5165,8,3757,7166,5963,3934,1091,3268,4311,4918,4263,5984,4313,4411,5773,5308,597675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.5833333333333,Road
Lineups,-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,14,9,5,0.643,190.0,116.1,115.9,120.4,122.3,-4.2,-6.3,0.716,2.98,22.5,0.301,0.701,0.501,0.111,0.554,0.576,100.4,99.65,83.04,395,0.48,22,20,11260,4058,9,4178,7132,6122,3692,1073,2886,4220,5245,4273,6215,4532,4925,7627,5440,570825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.83333333333337,Road
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,15,9,6,0.6,188.0,105.0,107.1,106.4,105.7,-1.4,1.4,0.592,2.0,16.4,0.299,0.767,0.519,0.114,0.481,0.525,100.0,99.27,82.72,394,0.508,15,20,11314,4076,10,4834,5887,4578,5143,1359,5435,4275,4395,4201,6224,6248,5748,7761,4945,564285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.66666666666663,Road
Lineups,-1627832-1628415-1630224-1630578-1641708-,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,1610612745,HOU,14,12,2,0.857,177.0,111.8,112.5,107.7,107.6,4.1,4.9,0.568,2.71,16.8,0.249,0.691,0.45,0.084,0.501,0.544,100.5,100.29,83.57,369,0.526,22,8,9685,3612,11,4475,5974,4441,5299,1104,4838,5092,5346,6537,5447,4890,5438,7421,4757,529830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.75,Road
Lineups,-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,1610612760,OKC,16,12,4,0.75,170.0,119.3,119.1,102.4,102.2,16.9,17.0,0.633,3.06,20.5,0.274,0.735,0.508,0.096,0.559,0.591,103.8,103.94,86.61,366,0.575,13,8,11147,3688,12,3939,5779,3813,4781,665,3418,4484,4959,4253,5687,4442,4670,6230,4214,509160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.16666666666663,Road
Lineups,-1626157-1628384-1628404-1628969-1630540-,K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,1610612752,NYK,15,8,7,0.533,152.0,113.3,114.3,109.8,107.9,3.5,6.3,0.696,3.24,20.3,0.349,0.677,0.507,0.094,0.508,0.537,97.8,98.23,81.86,308,0.531,15,31,11337,4162,13,4248,6002,4385,3855,645,3450,3247,5400,4258,5646,4883,5550,8039,4702,456655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.66666666666663,Road
Lineups,-202699-203501-1630595-1631093-1631105-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,1610612765,DET,13,7,6,0.538,147.0,117.0,117.4,127.3,127.8,-10.3,-10.4,0.677,1.96,21.3,0.252,0.739,0.498,0.154,0.609,0.627,98.7,98.38,81.98,299,0.445,29,44,11314,4161,14,4022,7586,6340,3925,2220,3269,4592,4939,6063,7201,3707,4022,8011,5832,439850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.25,Road
Lineups,-201935-202695-1626181-1627739-1627826-,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,1610612746,LAC,7,5,2,0.714,141.0,114.7,116.4,109.4,111.2,5.3,5.3,0.619,2.0,20.0,0.262,0.77,0.52,0.139,0.58,0.608,96.2,94.76,78.97,280,0.53,165,106,9685,3781,15,4165,6264,4417,4873,1359,3464,4568,4362,4194,6743,4153,4371,8973,4713,423980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.75,Road
