GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,TEAM_ID,TEAM_ABBREVIATION
Overall,2024-25,2024-25,82,40,42,0.488,3956.0,111.9,113.7,112.6,114.8,-0.8,-1.1,0.682,1.91,19.9,0.3,0.715,0.503,0.149,0.546,0.579,105.2,103.41,86.17,8521,0.498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612737,ATL
Overall,2024-25,2024-25,82,61,21,0.744,3966.0,117.5,119.5,108.0,110.1,9.6,9.4,0.628,2.2,19.0,0.291,0.717,0.506,0.122,0.561,0.591,98.3,96.59,80.49,7979,0.542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612738,BOS
Overall,2024-25,2024-25,82,21,61,0.256,3951.0,107.6,109.7,116.6,119.1,-9.0,-9.4,0.636,1.76,18.3,0.303,0.682,0.487,0.146,0.519,0.552,101.8,99.77,83.14,8212,0.455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612740,NOP
Overall,2024-25,2024-25,82,39,43,0.476,3951.0,111.9,113.2,112.5,114.8,-0.6,-1.6,0.673,1.98,19.9,0.26,0.722,0.496,0.141,0.553,0.585,105.3,103.61,86.34,8532,0.495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612741,CHI
Overall,2024-25,2024-25,82,39,43,0.476,3946.0,112.1,113.7,113.0,115.0,-0.9,-1.3,0.601,1.8,18.2,0.271,0.694,0.488,0.14,0.549,0.583,101.7,100.15,83.46,8238,0.496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612742,DAL
Overall,2024-25,2024-25,82,50,32,0.61,3971.0,117.2,118.9,113.1,115.1,4.1,3.8,0.683,2.17,21.1,0.311,0.709,0.52,0.14,0.573,0.604,102.3,100.67,83.89,8328,0.529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612743,DEN
Overall,2024-25,2024-25,82,48,34,0.585,3946.0,112.0,114.2,108.9,111.0,3.1,3.2,0.714,2.07,20.1,0.314,0.716,0.509,0.141,0.536,0.568,101.3,99.37,82.81,8173,0.515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612744,GSW
Overall,2024-25,2024-25,82,52,30,0.634,3956.0,111.4,114.9,108.0,110.3,3.4,4.6,0.549,1.68,16.4,0.363,0.715,0.533,0.14,0.523,0.553,101.6,99.03,82.53,8159,0.515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612745,HOU
Overall,2024-25,2024-25,82,50,32,0.61,3961.0,112.4,114.3,107.9,109.4,4.5,4.9,0.605,1.69,18.4,0.282,0.734,0.512,0.151,0.554,0.589,99.7,98.24,81.87,8099,0.521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612746,LAC
Overall,2024-25,2024-25,82,50,32,0.61,3946.0,113.4,115.0,111.4,113.8,2.1,1.2,0.635,1.86,18.9,0.273,0.702,0.495,0.142,0.557,0.593,100.1,98.34,81.95,8084,0.511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612747,LAL
Overall,2024-25,2024-25,82,37,45,0.451,3986.0,110.8,112.4,110.6,112.0,0.3,0.4,0.653,1.94,19.2,0.263,0.724,0.496,0.138,0.544,0.576,98.4,97.08,80.9,8066,0.505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612748,MIA
Overall,2024-25,2024-25,82,48,34,0.585,3951.0,113.6,115.1,110.9,112.7,2.7,2.4,0.607,1.91,18.7,0.235,0.725,0.491,0.133,0.568,0.598,101.4,99.92,83.26,8228,0.513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612749,MIL
Overall,2024-25,2024-25,82,49,33,0.598,3966.0,113.6,115.7,108.6,110.8,5.0,5.0,0.637,1.81,18.7,0.3,0.709,0.507,0.146,0.554,0.588,99.8,97.95,81.62,8097,0.524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612750,MIN
